"CleanedResort","OriginalResort"
"Les Houches-Saint-Gervais-Prarion-Bellevue-Chamonix-","Les Houches-Saint-Gervais-Prarion-Bellevue-Chamonix-"
"Yllas","Yllas"
"Belvedere-Col Rodella-Ciampac-Buffaure-Canazei-Campitello-Alba-Pozza di Fassa","Belvedere-Col Rodella-Ciampac-Buffaure-Canazei-Campitello-Alba-Pozza di Fassa"
"Revelstoke Mountain Resort","Revelstoke Mountain Resort"
"Lauchernalp-Lotschental","Lauchernalp-Lotschental"
"Grossglockner Heiligenblut","Grossglockner Heiligenblut"
"Brandnertal-Brand-Burserberg","Brandnertal-Brand-Burserberg"
"Alpe du Grand-Serre-La Morte","Alpe du Grand-Serre-La Morte"
"Les Angles","Les Angles"
"Kopaonik","Kopaonik"
"Aussois","Aussois"
"Apache","Apache"
"Erciyes-Kayseri","Erciyes-Kayseri"
"Hunter Mountain","Hunter Mountain"
"First-Grindelwald","First-Grindelwald"
"Sorenberg-Rothorn-Dorf","Sorenberg-Rothorn-Dorf"
"Riserva Bianca-Limone Piemonte","Riserva Bianca-Limone Piemonte"
"Eldora Mountain","Eldora Mountain"
"Donner Ski Ranch","Donner Ski Ranch"
"Las Lenas","Las Lenas"
"Happo-One-Hakuba","Happo-One-Hakuba"
"Gitschberg Jochtal","Gitschberg Jochtal"
"Schilthorn-Murren-Lauterbrunnen","Schilthorn-Murren-Lauterbrunnen"
"Dachstein West","Dachstein West"
"Cypress Mountain","Cypress Mountain"
"Pila","Pila"
"Brigels-Waltensburg-Andiast","Brigels-Waltensburg-Andiast"
"Aprica","Aprica"
"Bormio-Cima Bianca","Bormio-Cima Bianca"
"Sedrun-Oberalp","Sedrun-Oberalp"
"Grosseck-Speiereck-Mauterndorf-St Michael","Grosseck-Speiereck-Mauterndorf-St Michael"
"Hirmentaz-Les Haberes-Bellevaux-Habere-Poche","Hirmentaz-Les Haberes-Bellevaux-Habere-Poche"
"Pragelato","Pragelato"
"Porte Puymorens","Porte Puymorens"
"Mythenregion","Mythenregion"
"Candanchu","Candanchu"
"Zugspitze","Zugspitze"
"Zao Onsen","Zao Onsen"
"Lindvallen-Hogfjallet-Salen-","Lindvallen-Hogfjallet-Salen-"
"Jasna Nizke Tatry-Chopok","Jasna Nizke Tatry-Chopok"
"Mitsumata-Kagura-Tashiro-Mt Naeba-","Mitsumata-Kagura-Tashiro-Mt Naeba-"
"Tandadalen-Hundfjallet-Salen-","Tandadalen-Hundfjallet-Salen-"
"Appi Kogen","Appi Kogen"
"Gazprom Mountain Resort-Laura- Esto-Sadok-Sotschi-","Gazprom Mountain Resort-Laura- Esto-Sadok-Sotschi-"
"Rusutsu","Rusutsu"
"Steinplatte-Winklmoosalm-Waidring-Reit im Winkl","Steinplatte-Winklmoosalm-Waidring-Reit im Winkl"
"Uludag-Bursa","Uludag-Bursa"
"Rigi","Rigi"
"Metabief","Metabief"
"Vitosha-Sofia","Vitosha-Sofia"
"Latemar-Obereggen-Pampeago-Predazzo","Latemar-Obereggen-Pampeago-Predazzo"
"Szczyrk-Skrzyczne","Szczyrk-Skrzyczne"
"Mariborsko Pohorje-Maribor","Mariborsko Pohorje-Maribor"
"El Colorado-Farellones","El Colorado-Farellones"
"Praz de Lys-Sommand-Taninges-Mieussy-","Praz de Lys-Sommand-Taninges-Mieussy-"
"Jahorina","Jahorina"
"Espace Dole-La Dole-Les Tuffes","Espace Dole-La Dole-Les Tuffes"
"Myoko Akakura","Myoko Akakura"
"Naeba-Mt Naeba-","Naeba-Mt Naeba-"
"Nozawa Onsen","Nozawa Onsen"
"Kreischberg","Kreischberg"
"Garmisch-Classic-Garmisch-Partenkirchen","Garmisch-Classic-Garmisch-Partenkirchen"
"Carezza Ski","Carezza Ski"
"Pizol-Bad Ragaz-Wangs","Pizol-Bad Ragaz-Wangs"
"SuperBesse-Puy de Sancy","SuperBesse-Puy de Sancy"
"Stoten","Stoten"
"Palandoken-Ejder 3200 World Ski Center-","Palandoken-Ejder 3200 World Ski Center-"
"Fellhorn-Kanzelwand-Oberstdorf-Riezlern","Fellhorn-Kanzelwand-Oberstdorf-Riezlern"
"Idre Fjall","Idre Fjall"
"Groglockner Resort Kals-Matrei","Groglockner Resort Kals-Matrei"
"Pamporovo","Pamporovo"
"Abetone-Val di Luce","Abetone-Val di Luce"
"Gerlitzen","Gerlitzen"
"Paganella-Andalo","Paganella-Andalo"
"Melchsee-Frutt-Kerns-","Melchsee-Frutt-Kerns-"
"Vall de Nuria","Vall de Nuria"
"Areches-Beaufort-","Areches-Beaufort-"
"Spindleruv Mlyn","Spindleruv Mlyn"
"Les Mosses-La Lecherette","Les Mosses-La Lecherette"
"Dizin","Dizin"
"Gala Yuzawa-Ishiuchi Maruyama","Gala Yuzawa-Ishiuchi Maruyama"
"YongPyong Resort","YongPyong Resort"
"Cimone-Montecreto-Sestola-Le Polle","Cimone-Montecreto-Sestola-Le Polle"
"Luchon Superbagneres","Luchon Superbagneres"
"High1 Resort","High1 Resort"
"La Parva","La Parva"
"Lelex-Crozet","Lelex-Crozet"
"Alpika Service","Alpika Service"
"Sinaia","Sinaia"
"Furano","Furano"
"Gourette-Eaux Bonnes-","Gourette-Eaux Bonnes-"
"Whiteface-Lake Placid","Whiteface-Lake Placid"
"Rauriser Hochalmbahnen-Rauris","Rauriser Hochalmbahnen-Rauris"
"Hoch-Ybrig-Unteriberg-Oberiberg","Hoch-Ybrig-Unteriberg-Oberiberg"
"Meran 2000","Meran 2000"
"Natschen-Andermatt","Natschen-Andermatt"
"Hoshino Resorts Tomamu","Hoshino Resorts Tomamu"
"Albiez-Montrond","Albiez-Montrond"
"Tarvisio-Monte Lussari","Tarvisio-Monte Lussari"
"Mount Parnassos-Fterolakka-Kellaria","Mount Parnassos-Fterolakka-Kellaria"
"Moelltal Glacier-Molltaler Gletscher-","Moelltal Glacier-Molltaler Gletscher-"
"Wendelstein-Brannenburg-Osterhofen","Wendelstein-Brannenburg-Osterhofen"
"Glenshee","Glenshee"
"Sulden am Ortler-Solda allOrtles-","Sulden am Ortler-Solda allOrtles-"
"The Summit at Snoqualmie","The Summit at Snoqualmie"
"Poiana Brasov","Poiana Brasov"
"Hinterstoder-Hoss","Hinterstoder-Hoss"
"St Jean Montclar","St Jean Montclar"
"Port del Comte","Port del Comte"
"Tanndalen","Tanndalen"
"Feldberg-Seebuck-Grafenmatt-Fahl","Feldberg-Seebuck-Grafenmatt-Fahl"
"Pitztal Glacier-Pitztaler Gletscher-","Pitztal Glacier-Pitztaler Gletscher-"
"Kiroro","Kiroro"
"Tauplitz-Bad Mitterndorf","Tauplitz-Bad Mitterndorf"
"Hochoetz-Oetz","Hochoetz-Oetz"
"Rosshutte-Seefeld","Rosshutte-Seefeld"
"Malbun","Malbun"
"Spicak","Spicak"
"Riesneralm-Donnersbachwald","Riesneralm-Donnersbachwald"
"Berwang-Bichlbach-Rinnen","Berwang-Bichlbach-Rinnen"
"Glungezer-Tulfes","Glungezer-Tulfes"
"Fanningberg","Fanningberg"
"Tamarack Resort","Tamarack Resort"
"Turracher Hohe","Turracher Hohe"
"Indoor ski area Snow Arena-Druskininkai","Indoor ski area Snow Arena-Druskininkai"
"Niedere-Andelsbuch-Bezau","Niedere-Andelsbuch-Bezau"
"Summit Ski Area at Mt Hood","Summit Ski Area at Mt Hood"
"Wurzeralm-Spital am Pyhrn","Wurzeralm-Spital am Pyhrn"
"Prabichl-Vordernberg","Prabichl-Vordernberg"
"Pfelders-Moos in Passeier-","Pfelders-Moos in Passeier-"
